function,dimension,p_sigma_mode,generator,seed,best_f,evaluations,reached_target
sphere,2,zero,pcg64,1,5.557567198284204e-09,343,True
sphere,2,zero,pcg64,2,6.7487603817476984e-09,259,True
sphere,2,zero,pcg64,3,7.124105458877113e-09,289,True
sphere,2,zero,pcg64,4,3.4520311297428105e-09,289,True
sphere,2,zero,pcg64,5,4.1534028364712256e-09,247,True
sphere,2,zero,pcg64,6,4.713017210400482e-10,271,True
sphere,2,zero,pcg64,7,8.260521049658782e-09,283,True
sphere,2,zero,pcg64,8,5.3662407821561625e-11,301,True
sphere,2,zero,pcg64,9,3.0175613792907674e-10,211,True
sphere,2,zero,pcg64,10,8.037657179161364e-09,313,True
sphere,2,zero,pcg64,11,3.84744849037271e-09,253,True
sphere,2,zero,pcg64,12,1.70609835046532e-10,199,True
sphere,2,zero,pcg64,13,5.93252512948894e-09,307,True
sphere,2,zero,pcg64,14,2.719457104675695e-09,283,True
sphere,2,zero,pcg64,15,6.18074623280615e-09,217,True
sphere,2,zero,pcg64,16,6.467438179111276e-09,277,True
sphere,2,zero,pcg64,17,3.3569986809412e-10,295,True
sphere,2,zero,pcg64,18,8.864204429301483e-09,289,True
sphere,2,zero,pcg64,19,5.729161301097415e-09,247,True
sphere,2,zero,pcg64,20,6.8218876336116284e-09,319,True
sphere,2,zero,pcg64,21,6.9636165554085714e-09,241,True
sphere,2,zero,pcg64,22,8.824032736551037e-09,283,True
sphere,2,zero,pcg64,23,3.884680479763969e-11,307,True
sphere,2,zero,pcg64,24,3.034282998948801e-09,325,True
sphere,2,zero,pcg64,25,4.076454352985782e-09,283,True
sphere,2,zero,pcg64,26,4.760426342675116e-10,289,True
sphere,2,zero,pcg64,27,7.287162130200856e-09,247,True
sphere,2,zero,pcg64,28,2.1095126131058526e-09,247,True
sphere,2,zero,pcg64,29,6.598176564598672e-09,277,True
sphere,2,zero,pcg64,30,2.691443156461009e-09,295,True
sphere,2,zero,mt19937,1,4.9069287023425425e-09,229,True
