function,dimension,p_sigma_mode,initial_sigma,seed,best_f,evaluations,reached_target
sphere,2,zero,0.1,1,5.569341608868317e-09,331,True
sphere,2,zero,0.1,2,9.754501139989107e-09,295,True
sphere,2,zero,0.1,3,8.207038195745319e-10,277,True
sphere,2,zero,0.1,4,3.619519403313537e-09,343,True
sphere,2,zero,0.1,5,9.585728196160507e-09,295,True
sphere,2,zero,0.1,6,9.224169565720637e-10,265,True
sphere,2,zero,0.1,7,2.4457930043528263e-11,265,True
sphere,2,zero,0.1,8,4.210440089058638e-09,343,True
sphere,2,zero,0.1,9,6.371341434427182e-09,325,True
sphere,2,zero,0.1,10,8.37743278684e-09,355,True
sphere,2,zero,0.3,1,3.715170088871544e-09,259,True
sphere,2,zero,0.3,2,7.408082942433107e-09,265,True
sphere,2,zero,0.3,3,8.350183230895556e-11,271,True
sphere,2,zero,0.3,4,4.826786581887351e-10,289,True
sphere,2,zero,0.3,5,1.9808376693570678e-09,283,True
sphere,2,zero,0.3,6,5.321108364897577e-09,259,True
sphere,2,zero,0.3,7,7.886462256293443e-09,265,True
sphere,2,zero,0.3,8,2.0731386697631437e-09,349,True
sphere,2,zero,0.3,9,2.1278827182784726e-09,319,True
sphere,2,zero,0.3,10,3.959958155733048e-09,337,True
sphere,2,zero,0.5,1,9.383014069721432e-09,379,True
sphere,2,zero,0.5,2,6.0442905423632024e-09,277,True
sphere,2,zero,0.5,3,2.5723944778242724e-09,253,True
sphere,2,zero,0.5,4,3.437072453756674e-09,331,True
sphere,2,zero,0.5,5,1.8494288122474284e-09,247,True
sphere,2,zero,0.5,6,8.622869213636291e-09,265,True
sphere,2,zero,0.5,7,9.190524886531744e-09,289,True
sphere,2,zero,0.5,8,5.5234583569296565e-09,301,True
sphere,2,zero,0.5,9,5.565692725194091e-09,295,True
sphere,2,zero,0.5,10,1.4567156840702583e-10,313,True
sphere,2,zero,1.0,1,5.557567198284204e-09,343,True
sphere,2,zero,1.0,2,6.7487603817476984e-09,259,True
sphere,2,zero,1.0,3,7.124105458877113e-09,289,True
sphere,2,zero,1.0,4,3.4520311297428105e-09,289,True
sphere,2,zero,1.0,5,4.1534028364712256e-09,247,True
sphere,2,zero,1.0,6,4.713017210400482e-10,271,True
sphere,2,zero,1.0,7,8.260521049658782e-09,283,True
sphere,2,zero,1.0,8,5.3662407821561625e-11,301,True
sphere,2,zero,1.0,9,3.0175613792907674e-10,211,True
sphere,2,zero,1.0,10,8.037657179161364e-09,313,True
sphere,2,zero,2.0,1,2.100410525280361e-09,307,True
sphere,2,zero,2.0,2,9.802306404346038e-10,253,True
sphere,2,zero,2.0,3,6.409027655105785e-09,247,True
sphere,2,zero,2.0,4,4.180970460575011e-09,277,True
sphere,2,zero,2.0,5,5.946895229806112e-09,271,True
sphere,2,zero,2.0,6,6.893036161314662e-10,247,True
sphere,2,zero,2.0,7,6.036702842543166e-09,289,True
sphere,2,zero,2.0,8,4.651600195691573e-09,283,True
sphere,2,zero,2.0,9,6.659873398419035e-09,283,True
sphere,2,zero,2.0,10,1.6695269593501618e-09,265,True
sphere,2,zero,5.0,1,5.726841248527771e-09,253,True
sphere,2,zero,5.0,2,4.0961574392082377e-10,295,True
sphere,2,zero,5.0,3,1.6972432807564541e-09,271,True
sphere,2,zero,5.0,4,1.0455578730580465e-09,307,True
sphere,2,zero,5.0,5,6.098175868040985e-09,265,True
sphere,2,zero,5.0,6,2.7041213409165e-09,283,True
sphere,2,zero,5.0,7,9.354529467391877e-09,289,True
sphere,2,zero,5.0,8,1.900620699547572e-09,289,True
sphere,2,zero,5.0,9,6.409106702692078e-11,289,True
sphere,2,zero,5.0,10,8.470461982523031e-09,217,True
sphere,2,random,0.1,1,8.278810976550439e-10,343,True
sphere,2,random,0.1,2,3.2470676147352417e-09,289,True
sphere,2,random,0.1,3,9.418985007218701e-09,265,True
sphere,2,random,0.1,4,7.086105625619367e-09,343,True
sphere,2,random,0.1,5,7.690594564515076e-09,337,True
sphere,2,random,0.1,6,5.642298985460967e-09,277,True
sphere,2,random,0.1,7,1.3344419135442495e-09,271,True
sphere,2,random,0.1,8,2.982506673077176e-09,289,True
sphere,2,random,0.1,9,3.208883879163624e-09,253,True
sphere,2,random,0.1,10,8.992173818302587e-09,313,True
sphere,2,random,0.3,1,6.7469445366527705e-09,289,True
sphere,2,random,0.3,2,1.9224483300589225e-09,265,True
sphere,2,random,0.3,3,9.305823083303823e-09,241,True
sphere,2,random,0.3,4,8.590661439188084e-09,307,True
sphere,2,random,0.3,5,2.906795250550439e-09,301,True
sphere,2,random,0.3,6,2.629392220505449e-09,271,True
sphere,2,random,0.3,7,4.521224370753828e-09,283,True
sphere,2,random,0.3,8,4.736414692828573e-09,313,True
sphere,2,random,0.3,9,6.8788869613348976e-09,295,True
sphere,2,random,0.3,10,6.115546277502328e-09,277,True
sphere,2,random,0.5,1,7.585483519303752e-09,307,True
sphere,2,random,0.5,2,6.768415130662225e-10,271,True
sphere,2,random,0.5,3,8.840084381293632e-09,265,True
sphere,2,random,0.5,4,8.346450688228893e-09,307,True
sphere,2,random,0.5,5,7.526509938021456e-09,301,True
sphere,2,random,0.5,6,2.280670879589531e-09,241,True
sphere,2,random,0.5,7,7.220117997424448e-09,295,True
sphere,2,random,0.5,8,6.666205610962427e-09,247,True
sphere,2,random,0.5,9,4.567663445786493e-09,295,True
