function,dimension,p_sigma_mode,initial_sigma,median_best_f,mean_best_f,median_evals,success_rate
ackley,2,random,1.0,6.340253211334357e-09,6.120623030625439e-09,571.0,1.0
ackley,2,zero,1.0,4.321420110642293e-09,5.374609646224826e-09,556.0,1.0
ackley,10,random,1.0,8.165980336372058e-09,0.11551485705886302,2766.0,0.9
ackley,10,zero,0.5,8.42072056528309e-09,8.230255676977549e-09,2861.0,1.0
rastrigin,2,random,5.0,0.9949590570932898,2.0659042815878204,20005.0,0.1
rastrigin,2,zero,2.0,1.0920569486110505,1.2403614275514367,20005.0,0.3
rastrigin,10,random,2.0,10.447062542750928,11.54151397453639,20001.0,0.0
rastrigin,10,zero,2.0,12.436978138027982,13.531428557705805,20001.0,0.0
rosenbrock,2,random,5.0,3.4290371522639072e-09,4.366324474583683e-09,583.0,1.0
rosenbrock,2,zero,0.3,2.4448691448022756e-09,3.3078276777090006e-09,652.0,1.0
rosenbrock,10,random,2.0,7.699738877019014e-09,0.39865791772015496,6606.0,0.9
rosenbrock,10,zero,1.0,7.023410533866529e-09,7.084102062073652e-09,6426.0,1.0
sphere,2,random,2.0,3.7873583393066825e-09,4.485822861914621e-09,244.0,1.0
sphere,2,zero,5.0,2.302371020232036e-09,3.747125857170998e-09,286.0,1.0
sphere,10,random,0.5,7.509207329671213e-09,7.582230052581448e-09,1456.0,1.0
sphere,10,zero,0.3,6.910317092342936e-09,7.546297645492145e-09,1496.0,1.0
