function,dimension,p_sigma_mode,initial_sigma,median_best_f,mean_best_f,median_evals,success_rate
ackley,2,random,0.1,8.907122626169448,7.246159738970211,20005.0,0.2
ackley,2,random,0.3,8.53958015412104e-09,3.895524378617162,679.0,0.6
ackley,2,random,0.5,6.454860201898782e-09,1.1217549536041793,571.0,0.9
ackley,2,random,1.0,6.340253211334357e-09,6.120623030625439e-09,571.0,1.0
ackley,2,random,2.0,6.783861028480942e-09,6.272430486120584e-09,565.0,1.0
ackley,2,random,5.0,7.329293172375628e-09,7.019503289740214e-09,553.0,1.0
ackley,2,zero,0.1,8.907122626169446,7.43261076261507,20005.0,0.2
ackley,2,zero,0.3,3.279822692449759,4.754366659431765,10321.0,0.5
ackley,2,zero,0.5,9.49873824040992e-09,1.064502755136795,541.0,0.9
ackley,2,zero,1.0,4.321420110642293e-09,5.374609646224826e-09,556.0,1.0
ackley,2,zero,2.0,6.8566969879668704e-09,6.238324434804099e-09,562.0,1.0
ackley,2,zero,5.0,5.825321114372173e-09,5.479867670743488e-09,547.0,1.0
ackley,10,random,0.1,8.554030145446138,8.026905047030406,20001.0,0.0
ackley,10,random,0.3,8.796128714294582e-09,0.11551485798572729,2866.0,0.9
ackley,10,random,0.5,9.554208535433872e-09,9.271116585551909e-09,2816.0,1.0
ackley,10,random,1.0,8.165980336372058e-09,0.11551485705886302,2766.0,0.9
ackley,10,random,2.0,9.393629429865769e-09,0.11551485817660642,2756.0,0.9
ackley,10,random,5.0,9.102084863599202e-09,8.94171998666593e-09,2806.0,1.0
ackley,10,zero,0.1,8.86305037867718,8.829361417180206,20001.0,0.0
ackley,10,zero,0.3,9.317365101679798e-09,0.8493449422358376,2906.0,0.9
ackley,10,zero,0.5,8.42072056528309e-09,8.230255676977549e-09,2861.0,1.0
ackley,10,zero,1.0,9.302589365489666e-09,0.11551485853292834,2811.0,0.9
ackley,10,zero,2.0,9.27322441057754e-09,9.101609155237611e-09,2706.0,1.0
ackley,10,zero,5.0,9.445770832172684e-09,9.139846302019805e-09,2801.0,1.0
rastrigin,2,random,0.1,17.411702666264418,18.605618480720388,20005.0,0.0
rastrigin,2,random,0.3,16.416723321008174,16.516221657795437,20005.0,0.0
rastrigin,2,random,0.5,5.0446101301271975,9.838387223905992,20005.0,0.1
rastrigin,2,random,1.0,1.3431935372817918,6.138858152641749,20005.0,0.2
rastrigin,2,random,2.0,1.3884134849066854,2.6221204270520935,20005.0,0.0
rastrigin,2,random,5.0,0.9949590570932898,2.0659042815878204,20005.0,0.1
rastrigin,2,zero,0.1,17.411702666264418,18.605618480720384,20005.0,0.0
rastrigin,2,zero,0.3,16.91420284955482,15.222778918373233,20005.0,0.0
rastrigin,2,zero,0.5,5.331150859821449,10.60552708512624,20005.0,0.2
rastrigin,2,zero,1.0,5.472259677836794,8.58007695452922,20005.0,0.0
rastrigin,2,zero,2.0,1.0920569486110505,1.2403614275514367,20005.0,0.3
rastrigin,2,zero,5.0,1.2535944587824872,1.949613380705097,20005.0,0.1
rastrigin,10,random,0.1,90.04324307721363,86.85939232234685,20001.0,0.0
rastrigin,10,random,0.3,76.61145060567418,77.40736074360584,20001.0,0.0
rastrigin,10,random,0.5,14.426886153857339,23.281954919689497,20001.0,0.0
rastrigin,10,random,1.0,13.431937195121279,16.416798218117215,20001.0,0.0
rastrigin,10,random,2.0,10.447062542750928,11.54151397453639,20001.0,0.0
rastrigin,10,random,5.0,14.92437326185167,15.720326859862208,20001.0,0.0
rastrigin,10,zero,0.1,91.53566904558679,88.5508003973617,20001.0,0.0
rastrigin,10,zero,0.3,81.58619260378215,72.13411065610664,20001.0,0.0
rastrigin,10,zero,0.5,13.431937195121279,21.491057053312215,20001.0,0.0
rastrigin,10,zero,1.0,13.431937195121272,15.620829942045248,20001.0,0.0
rastrigin,10,zero,2.0,12.436978138027982,13.531428557705805,20001.0,0.0
rastrigin,10,zero,5.0,12.934457666574644,13.829911731708995,20001.0,0.0
rosenbrock,2,random,0.1,4.993468686843853e-09,5.394624847201429e-09,559.0,1.0
rosenbrock,2,random,0.3,3.647654693965589e-09,3.939831970786458e-09,649.0,1.0
rosenbrock,2,random,0.5,6.2448501681425566e-09,5.504448270610472e-09,595.0,1.0
rosenbrock,2,random,1.0,6.356127464719806e-09,5.887031013996154e-09,571.0,1.0
rosenbrock,2,random,2.0,6.3435241610372365e-09,6.464036754363758e-09,694.0,1.0
rosenbrock,2,random,5.0,3.4290371522639072e-09,4.366324474583683e-09,583.0,1.0
rosenbrock,2,zero,0.1,5.392711977852741e-09,5.116405937637732e-09,724.0,1.0
rosenbrock,2,zero,0.3,2.4448691448022756e-09,3.3078276777090006e-09,652.0,1.0
rosenbrock,2,zero,0.5,5.053964512305602e-09,5.0270786378625675e-09,598.0,1.0
rosenbrock,2,zero,1.0,5.347949909456423e-09,5.199847003985695e-09,553.0,1.0
rosenbrock,2,zero,2.0,5.920835064665744e-09,5.744366738276156e-09,505.0,1.0
rosenbrock,2,zero,5.0,5.7342362437253994e-09,5.566338309176661e-09,613.0,1.0
rosenbrock,10,random,0.1,8.808931161865959e-09,0.39865791858290656,6746.0,0.9
rosenbrock,10,random,0.3,8.01350376142415e-09,8.250857929468213e-09,6556.0,1.0
rosenbrock,10,random,0.5,9.024723142880822e-09,0.39865791837294146,6406.0,0.9
rosenbrock,10,random,1.0,8.275146078928343e-09,0.7973158284505236,6781.0,0.8
rosenbrock,10,random,2.0,7.699738877019014e-09,0.39865791772015496,6606.0,0.9
rosenbrock,10,random,5.0,7.922436687912797e-09,0.39865791811322265,7061.0,0.9
rosenbrock,10,zero,0.1,8.69497269735748e-09,8.530568939969174e-09,6396.0,1.0
rosenbrock,10,zero,0.3,7.953211041823899e-09,7.470628961081356e-09,6516.0,1.0
rosenbrock,10,zero,0.5,7.62654574123512e-09,7.310298405006692e-09,6336.0,1.0
rosenbrock,10,zero,1.0,7.023410533866529e-09,7.084102062073652e-09,6426.0,1.0
rosenbrock,10,zero,2.0,7.74005037573033e-09,0.3986579180467653,6641.0,0.9
rosenbrock,10,zero,5.0,8.482267196328569e-09,0.3986579182678619,6421.0,0.9
sphere,2,random,0.1,4.444683300098105e-09,5.043093917929204e-09,289.0,1.0
sphere,2,random,0.3,5.425980485165451e-09,5.435413716267911e-09,286.0,1.0
sphere,2,random,0.5,6.943161804193438e-09,5.517936347234401e-09,286.0,1.0
sphere,2,random,1.0,4.288569550493139e-09,4.879931997332135e-09,271.0,1.0
sphere,2,random,2.0,3.7873583393066825e-09,4.485822861914621e-09,244.0,1.0
sphere,2,random,5.0,4.7684270294383055e-09,4.583891818439264e-09,283.0,1.0
sphere,2,zero,0.1,4.8898908489634776e-09,4.9255883364847415e-09,310.0,1.0
sphere,2,zero,0.3,2.9215264035750085e-09,3.5038821356125097e-09,277.0,1.0
sphere,2,zero,0.5,5.544575541061874e-09,5.233441710661182e-09,292.0,1.0
sphere,2,zero,1.0,4.855485017377715e-09,4.416076550073388e-09,286.0,1.0
sphere,2,zero,2.0,4.416285328133292e-09,3.932454152333727e-09,274.0,1.0
sphere,2,zero,5.0,2.302371020232036e-09,3.747125857170998e-09,286.0,1.0
sphere,10,random,0.1,8.022453019879148e-09,7.78855392510551e-09,1586.0,1.0
sphere,10,random,0.3,8.61077587602081e-09,8.093465351462433e-09,1526.0,1.0
sphere,10,random,0.5,7.509207329671213e-09,7.582230052581448e-09,1456.0,1.0
sphere,10,random,1.0,7.783715138601515e-09,7.59876810298753e-09,1481.0,1.0
sphere,10,random,2.0,9.265848915942373e-09,8.473006355674617e-09,1521.0,1.0
sphere,10,random,5.0,7.727586890171258e-09,7.679582173125751e-09,1571.0,1.0
sphere,10,zero,0.1,8.087162020339366e-09,7.94859343829492e-09,1616.0,1.0
sphere,10,zero,0.3,6.910317092342936e-09,7.546297645492145e-09,1496.0,1.0
sphere,10,zero,0.5,9.033599822306397e-09,8.848874872498276e-09,1541.0,1.0
sphere,10,zero,1.0,7.671553345292044e-09,7.306916738713724e-09,1446.0,1.0
sphere,10,zero,2.0,7.52610045705008e-09,7.901271887423999e-09,1496.0,1.0
sphere,10,zero,5.0,8.998215186407205e-09,8.73092431326827e-09,1501.0,1.0
