function,dimension,p_sigma_mode,generator,median_best_f,mean_best_f,median_evaluations,mean_evaluations,success_rate
ackley,2,random,mt19937,7.048644778961943e-09,0.3666087433378523,568.0,1210.8,0.9666666666666667
ackley,2,random,pcg64,7.237251242742104e-09,6.796179471043236e-09,559.0,558.6,1.0
ackley,2,zero,mt19937,6.837048704966264e-09,0.40126941344594813,556.0,1848.6,0.9333333333333333
ackley,2,zero,pcg64,7.97233257188168e-09,6.861528441722461e-09,547.0,550.8,1.0
ackley,10,random,mt19937,8.781370741672845e-09,0.03850495853920567,2781.0,3357.6666666666665,0.9666666666666667
ackley,10,random,pcg64,8.633126657997536e-09,0.0770099079895601,2746.0,3876.0,0.9333333333333333
ackley,10,zero,mt19937,8.628238123975507e-09,8.633365400356752e-09,2791.0,2792.0,1.0
ackley,10,zero,pcg64,8.87986617570391e-09,0.03850495824403793,2811.0,3364.3333333333335,0.9666666666666667
ackley,30,random,mt19937,9.404646394983729e-09,9.29618204636995e-09,7281.0,7303.4,1.0
ackley,30,random,pcg64,9.355807240041258e-09,9.273797818565299e-09,7260.0,7288.933333333333,1.0
ackley,30,zero,mt19937,9.448083648777583e-09,9.261866621793995e-09,7337.0,7345.866666666667,1.0
ackley,30,zero,pcg64,9.571677228592534e-09,9.45392632326995e-09,7309.0,7298.733333333334,1.0
gaussian_noise,2,random,mt19937,3.7359135193845654e-05,4.853854494971221e-05,20005.0,20005.0,0.0
gaussian_noise,2,random,pcg64,3.7359135193845654e-05,4.853854494971221e-05,20005.0,20005.0,0.0
gaussian_noise,2,zero,mt19937,3.7359135193845654e-05,4.853854494971221e-05,20005.0,20005.0,0.0
gaussian_noise,2,zero,pcg64,3.7359135193845654e-05,4.853854494971221e-05,20005.0,20005.0,0.0
gaussian_noise,10,random,mt19937,3.7359135193845654e-05,4.853854494971221e-05,20001.0,20001.0,0.0
gaussian_noise,10,random,pcg64,3.7359135193845654e-05,4.853854494971221e-05,20001.0,20001.0,0.0
gaussian_noise,10,zero,mt19937,3.7359135193845654e-05,4.853854494971221e-05,20001.0,20001.0,0.0
gaussian_noise,10,zero,pcg64,3.7359135193845654e-05,4.853854494971221e-05,20001.0,20001.0,0.0
gaussian_noise,30,random,mt19937,3.7359135193845654e-05,4.853854494971221e-05,20007.0,20007.0,0.0
gaussian_noise,30,random,pcg64,3.7359135193845654e-05,4.853854494971221e-05,20007.0,20007.0,0.0
gaussian_noise,30,zero,mt19937,3.7359135193845654e-05,4.853854494971221e-05,20007.0,20007.0,0.0
gaussian_noise,30,zero,pcg64,3.7359135193845654e-05,4.853854494971221e-05,20007.0,20007.0,0.0
rastrigin,2,random,mt19937,1.0544248720258285,3.254611542791618,20005.0,18699.0,0.06666666666666667
rastrigin,2,random,pcg64,1.9899181141865796,4.048173081239362,20005.0,15440.4,0.23333333333333334
rastrigin,2,zero,mt19937,1.9899181141865796,5.026152983452552,20005.0,18042.6,0.1
rastrigin,2,zero,pcg64,1.8041154804559891,4.4859587203787585,20005.0,19349.0,0.03333333333333333
rastrigin,10,random,mt19937,12.934437469860171,14.692206205906846,20001.0,20001.0,0.0
rastrigin,10,random,pcg64,12.436978138027982,12.3374800432053,20001.0,20001.0,0.0
rastrigin,10,zero,mt19937,14.426893733305029,14.49321911924803,20001.0,20001.0,0.0
rastrigin,10,zero,pcg64,12.93445766657463,13.796746591636616,20001.0,20001.0,0.0
rastrigin,30,random,mt19937,54.72264978906365,54.457323795563674,20007.0,20007.0,0.0
rastrigin,30,random,pcg64,51.73775484853037,52.268416910939585,20007.0,20007.0,0.0
rastrigin,30,zero,mt19937,50.74281859850957,51.77095287112265,20007.0,20007.0,0.0
rastrigin,30,zero,pcg64,49.74789235539751,50.974983259281586,20007.0,20007.0,0.0
rosenbrock,2,random,mt19937,4.813361953968796e-09,4.945035421976443e-09,673.0,704.0,1.0
rosenbrock,2,random,pcg64,5.692202017276905e-09,5.078572511807039e-09,634.0,687.0,1.0
rosenbrock,2,zero,mt19937,5.259625019654475e-09,5.039621932629721e-09,640.0,698.4,1.0
rosenbrock,2,zero,pcg64,3.859902435868545e-09,4.64938631238976e-09,634.0,660.6,1.0
rosenbrock,10,random,mt19937,7.675996509164792e-09,0.3986579178342977,6531.0,8006.0,0.9
rosenbrock,10,random,pcg64,8.74392448432193e-09,0.7973158285889509,6736.0,9225.333333333334,0.8
rosenbrock,10,zero,mt19937,7.840349183126827e-09,0.5315438879970918,6316.0,8017.0,0.8666666666666667
rosenbrock,10,zero,pcg64,7.897763669368587e-09,0.26577194794631426,6501.0,7517.333333333333,0.9333333333333333
rosenbrock,30,random,mt19937,12.080538410527659,17.66677304709594,20007.0,20007.0,0.0
rosenbrock,30,random,pcg64,13.311136456282773,13.54587202825705,20007.0,20007.0,0.0
rosenbrock,30,zero,mt19937,12.896337756725565,13.411482530170337,20007.0,20007.0,0.0
